OrderID,Date,Store,City,Product,Category,Quantity,UnitPrice,TotalPrice,PaymentMethod,CustomerType
1001,2024-01-05,Store A,Mumbai,Laptop,Electronics,1,55000,55000,Credit Card,New
1002,2024-01-05,Store B,Delhi,Shampoo,Personal Care,3,120,360,Cash,Returning
1003,2024-01-06,Store C,Bangalore,Jeans,Apparel,2,1500,3000,Credit Card,New
1004,2024-01-06,Store A,Mumbai,Smartphone,Electronics,1,25000,25000,UPI,Returning
1005,2024-01-07,Store B,Delhi,Bread,Grocery,5,40,200,Cash,New
1006,2024-01-07,Store C,Bangalore,T-Shirt,Apparel,4,800,3200,Credit Card,Returning
1007,2024-01-08,Store A,Mumbai,Milk,Grocery,10,50,500,UPI,New
1008,2024-01-08,Store B,Delhi,Perfume,Personal Care,1,2500,2500,Credit Card,Returning
1009,2024-01-09,Store C,Bangalore,Headphones,Electronics,2,1500,3000,Cash,New
1010,2024-01-09,Store A,Mumbai,Rice,Grocery,3,90,270,Credit Card,Returning
1011,2024-01-10,Store B,Delhi,Shoes,Apparel,1,3000,3000,UPI,New
1012,2024-01-10,Store C,Bangalore,Milk,Grocery,12,48,576,Cash,Returning
1013,2024-01-11,Store A,Mumbai,Charger,Electronics,2,600,1200,Credit Card,New
1014,2024-01-11,Store B,Delhi,Notebook,Stationery,10,35,350,Cash,Returning
1015,2024-01-12,Store C,Bangalore,Smartwatch,Electronics,1,8000,8000,UPI,New
1016,2024-01-12,Store A,Mumbai,Biscuits,Grocery,6,25,150,Credit Card,Returning
1017,2024-01-12,Store B,Delhi,Jacket,Apparel,1,4500,4500,UPI,New
1018,2024-01-13,Store C,Bangalore,Soap,Personal Care,4,45,180,Cash,Returning
1019,2024-01-13,Store A,Mumbai,Keyboard,Electronics,1,1200,1200,UPI,New
1020,2024-01-13,Store B,Delhi,Shirt,Apparel,2,1100,2200,Credit Card,Returning
1021,2024-01-14,Store C,Bangalore,Flour,Grocery,5,55,275,UPI,New
1022,2024-01-14,Store A,Mumbai,Watch,Accessories,1,2500,2500,Cash,Returning
1023,2024-01-14,Store B,Delhi,Socks,Apparel,3,150,450,UPI,New
1024,2024-01-15,Store C,Bangalore,Bag,Accessories,1,1800,1800,Credit Card,Returning
1025,2024-01-15,Store A,Mumbai,Pen,Stationery,10,12,120,Cash,New
1026,2024-01-15,Store B,Delhi,Notebook,Stationery,6,35,210,UPI,Returning
1027,2024-01-16,Store C,Bangalore,Charger,Electronics,3,600,1800,Cash,New
1028,2024-01-16,Store A,Mumbai,Soap,Personal Care,5,45,225,UPI,Returning
1029,2024-01-16,Store B,Delhi,Laptop,Electronics,1,52000,52000,Credit Card,New
1030,2024-01-17,Store C,Bangalore,Jeans,Apparel,1,1500,1500,Cash,Returning
1031,2024-01-17,Store A,Mumbai,Biscuits,Grocery,4,25,100,Credit Card,New
1032,2024-01-17,Store B,Delhi,Milk,Grocery,9,50,450,UPI,Returning
1033,2024-01-18,Store C,Bangalore,Smartphone,Electronics,1,26000,26000,Cash,New
1034,2024-01-18,Store A,Mumbai,Rice,Grocery,2,90,180,UPI,Returning
1035,2024-01-18,Store B,Delhi,Shampoo,Personal Care,3,120,360,Credit Card,New
1036,2024-01-19,Store C,Bangalore,T-Shirt,Apparel,2,800,1600,UPI,Returning
1037,2024-01-19,Store A,Mumbai,Headphones,Electronics,1,1500,1500,Credit Card,New
1038,2024-01-19,Store B,Delhi,Perfume,Personal Care,1,2800,2800,Cash,Returning
1039,2024-01-20,Store C,Bangalore,Bread,Grocery,6,40,240,UPI,New
